account_id,name,language,balance
ACC-0177,Olivia Miller,en,1840.73
ACC-0178,Leo Clark,he,2646.21
ACC-0179,Sophia Katz,he,2291.33
ACC-0180,Liam Wilson,en,2436.72
ACC-0181,Daniel Cohen,he,9422.49
ACC-0182,Daniel Davis,en,8712.12
ACC-0183,Yoav Biton,en,357.61
ACC-0184,Omer Azulay,he,8283.94
ACC-0185,Omer Brown,he,940.11
ACC-0186,Tamar Smith,en,297.98
ACC-0187,Lior Azulay,he,8110.49
ACC-0188,Omer Smith,he,76267.21
ACC-0189,Liam Taylor,he,3496.11
ACC-0190,Yoav Smith,he,10784.93
ACC-0191,Liam Smith,en,4466.20
ACC-0192,Emma Peretz,he,2231.30
ACC-0193,Daniel Johnson,he,276.17
ACC-0194,Mia Brown,en,821.72
ACC-0195,Adi Wilson,en,5426.90
ACC-0196,Mason Azulay,he,2277.14
ACC-0197,Ava Miller,en,3575.71
ACC-0198,Tamar Biton,he,2358.35
ACC-0199,Noa Azulay,he,6227.39
ACC-0200,Tamar Smith,en,2699.84
